channel_name,channel_url,country,subscribers,videos_found,average_views,last_video_date,score
Arquivo 42,https://www.youtube.com/channel/UCzcU3ZZWVR8O8a7NGeP4IDw,BR,11100,1,340268,2026-09-09T12:00:02Z,6
HypeGamesPlay,https://www.youtube.com/channel/UCJSuGoIwsJWl9AarnyDBBbg,BR,15600,1,336140,2026-09-10T03:08:12Z,6
d.breno_,https://www.youtube.com/channel/UC6QIXiC2KJJj-n26jx13efg,BR,8950,1,172302,2026-09-11T03:55:19Z,6
Canal Pé na Chuteira,https://www.youtube.com/channel/UCdYQiuUfbV0M9uM36rot6fg,BR,13900,1,85502,2026-09-10T20:59:26Z,6
Vitu Dos Ranks ,https://www.youtube.com/channel/UC4JfIdoMn3-FhCrpvkdWXdg,BR,16900,2,54607,2026-09-10T23:08:37Z,6
Antares Games,https://www.youtube.com/channel/UC4gmuNloGz92CEyGAAlB3yg,BR,14100,1,50937,2026-09-09T21:01:19Z,6
Cortes FitNation ,https://www.youtube.com/channel/UCJ71-1UOu17b-3MTKAjBr_w,BR,4250,1,46125,2026-09-09T22:15:07Z,6
Boleiros Onlinefc,https://www.youtube.com/channel/UCwz1FUECJqEeJtqk2dF3ocQ,BR,4490,1,44170,2026-09-10T21:05:09Z,6
Severino Fit,https://www.youtube.com/channel/UCKkC7InLEDfyK8zplAVqxcA,BR,7190,1,42843,2026-09-09T21:15:37Z,6
Sedentos por Futebol,https://www.youtube.com/channel/UCKuLttqplr3F2w1O0DhnFyw,BR,15300,1,40226,2026-09-10T21:57:36Z,6
ReGolFut,https://www.youtube.com/channel/UCxuVg9QydEQ8zfW67wQxL4w,BR,1590,1,37894,2026-09-11T06:34:55Z,6
Bola agora,https://www.youtube.com/channel/UCe9vsysvEDtjFCiwI2FxXow,BR,1270,1,29448,2026-09-07T20:43:50Z,6
Meije,https://www.youtube.com/channel/UCWZTlWOkjVQLosv1SFnKnxQ,BR,1280,2,26158,2026-09-10T23:10:30Z,6
Gairo FUT,https://www.youtube.com/channel/UC5UXYZEYdEgjD1J9zIhPVJQ,BR,12600,1,24951,2026-09-10T20:25:36Z,6
O Cara Shorts,https://www.youtube.com/channel/UCWo2CicvN_jjgLYbHkCNtOA,BR,2340,1,22786,2026-09-10T15:30:23Z,6
TORQX ,https://www.youtube.com/channel/UCpS4jrXtirb14Qm6jB9knXQ,BR,18000,1,21199,2026-09-10T21:00:29Z,6
Fábio Fonzare,https://www.youtube.com/channel/UCVl41irnUE-W-XSW23nTtCA,BR,8540,1,20460,2026-09-10T20:00:27Z,6
MMA CORTES ,https://www.youtube.com/channel/UCafUbiT-qiOp7Qfssc2QUXw,BR,10200,1,19420,2026-09-10T22:44:15Z,6
Esporte Clube News 360°,https://www.youtube.com/channel/UCHBoOHqxH7Qb7VRUjeU6NOQ,BR,14400,4,18302,2026-09-11T15:26:12Z,6
FUTEBOL MUITO +,https://www.youtube.com/channel/UCsNasS8gygpjsRARkRwPSLw,BR,14900,2,17379,2026-09-11T15:11:53Z,6
CuriousFut,https://www.youtube.com/channel/UCybVU6K-BO6LKM1z8VcYrAw,BR,4290,1,15273,2026-09-11T13:06:52Z,6
Luksstos 91,https://www.youtube.com/channel/UCT73OfYND4LCa13YR5Ybb7Q,BR,6080,1,14641,2026-09-09T14:10:56Z,6
